Experiment	Sample_name	alias	host	isolation_source	collection_date	life_stage	storage	geographic_location	province	lat_lon	container_description	env_medium	temp	ph	metagenome
SRR9615577	LS1.25S.A.AE1	LS1.25S.A.AE1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93236111 N 80.41925 W	Small plastic tank	plastic	28.17	6.65	Metagenome or environmental
SRR9615578	CH7.21S.A.AE.P1	CH7.21S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Chiriqui	David	8.421805 N 82.425909 W	Tyre	rubber	25.2	10.43	Metagenome or environmental
SRR9615580	P.AS12.A.AE10	P.AS12.A.AE10	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Panama	9.03994 N 79.46021 W	Wooden door	wood	28.97	9.9	Metagenome or environmental
SRR9615582	BT5.3S.A.AE.P1	BT5.3S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Isla Colon	9.33949 N 82.24311 W	Small plastic tank	plastic	25.47	8.93	Metagenome or environmental
SRR9615583	BT5.3S.A.AE.P3	BT5.3S.A.AE.P3	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Isla Colon	9.33949 N 82.24311 W	Small plastic tank	plastic	25.47	8.93	Metagenome or environmental
SRR9615586	P8.1S.A.AE.P2	P8.1S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Felipillo	9.09888 N 79.305 W	Tyre	rubber	30.11	6.12	Metagenome or environmental
SRR9615587	LS1.22S.A.AE.P4	LS1.22S.A.AE.P4	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.62841666 N 80.17741666 W	Plastic container	plastic	27.1	6.46	Metagenome or environmental
SRR9615589	PA.AS13.A.AE.P1	PA.AS13.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	San Carlos	9.03994 N 79.46021 W	Tyre	rubber	27.27	10.81	Metagenome or environmental
SRR9615590	BT5.6S.A.AE.P1	BT5.6S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Isla Colon	9.34173 N 82.24285 W	Plastic container	plastic	27.13	8.47	Metagenome or environmental
SRR9598435	BT5.7S.L.AE.P1	BT5.7S.L.AE.P1	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Isla Colon	9.36262 N 82.23995 W	Tyre	rubber	26.27	8.17	Metagenome or environmental
