Experiment	sample_name	isolation_source	collection_date	geographic_location	lat_lon	sample_size	metagenome
SRR11035592	MOULE07061L	larvae36_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035593	MOULE070610L	larvae35_Guadeloupe	2017-06-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035594	LAM9L	larvae34_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035595	LAM8L	larvae33_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035596	LAM7L	larvae32_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035597	BM9E	water 20_bucket	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035598	LAM6L	larvae31_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035599	LAM5L	larvae30_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035600	LAM4L	larvae29_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035601	LAM3L	larvae28_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035602	LAM2L	larvae27_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035603	LAM1L	larvae26_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035604	LAM10L	larvae25_Guadeloupe	2017-05-23	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035605	GOSIER2L	larvae24_Guadeloupe	2017-07-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035606	GOSIER1L	larvae23_Guadeloupe	2017-07-07	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035607	CPTR7L	larvae22_Guadeloupe	2017-06-08	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035608	BM8E	water 19_gutter manhole	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035609	CPTR1L	larvae21_Guadeloupe	2017-06-08	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035610	BM9L	larvae20_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035611	BM8L	larvae19_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035612	BM7L	larvae18_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035613	BM6L	larvae17_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035614	BM5L	larvae16_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035615	BM4L	larvae15_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035616	BM3L	larvae14_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035617	BM2L	larvae13_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035618	BM1L	larvae12_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035619	BM7E	water 18_plants container	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035620	BM10L	larvae11_Guadeloupe	2017-06-02	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035621	ABY9L	larvae10_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035622	ABY8L	larvae9_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035623	ABY7L	larvae8_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035624	ABY6L	larvae7_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035625	ABY5L	larvae6_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035626	ABY4L	larvae5_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035627	ABY3L	larvae4_Guadeloupe	2017-05-24	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
